instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,2017-01-01,1,0,1,0,6,0,2,0.24,0.2879,0.81,0.0,331,654,985
2,2017-01-02,1,0,1,0,0,1,2,0.22,0.2727,0.80,0.0,131,670,801
3,2017-01-03,1,0,1,0,1,1,1,0.26,0.3031,0.77,0.0,120,1229,1349
4,2017-01-04,1,0,1,0,2,1,1,0.26,0.3031,0.74,0.0,108,1454,1562
5,2017-01-05,1,0,1,0,3,1,2,0.20,0.2379,0.76,0.0,82,1518,1600
6,2017-01-06,1,0,1,0,4,1,2,0.52,0.4848,0.76,0.1,50,1518,1568
7,2017-01-07,1,0,1,0,5,0,3,0.39,0.3939,0.81,0.0,48,1206,1254
8,2017-01-08,1,0,1,0,6,0,1,0.26,0.3031,0.76,0.0,591,1123,1714
9,2017-01-09,1,0,1,0,0,1,1,0.20,0.2379,0.82,0.0,590,1404,1994
10,2017-01-10,1,0,1,0,1,1,2,0.26,0.3031,0.82,0.0,540,1518,2058
11,2017-01-11,1,0,1,0,2,1,1,0.15,0.1970,0.76,0.1,464,1735,2199
12,2017-01-12,1,0,1,0,3,1,1,0.30,0.3485,0.75,0.0,423,1883,2306
13,2017-01-13,1,0,1,0,4,1,2,0.38,0.3636,0.81,0.0,352,2011,2363
14,2017-01-14,1,0,1,0,5,0,3,0.39,0.3939,0.83,0.0,426,1504,1930
15,2017-01-15,1,0,1,0,6,0,1,0.35,0.3333,0.80,0.1,492,1539,2031
16,2017-01-16,1,0,1,0,0,1,1,0.27,0.3182,0.79,0.0,501,1903,2404
17,2017-01-17,1,0,1,0,1,1,1,0.20,0.2424,0.77,0.0,537,2087,2624
18,2017-01-18,1,0,1,0,2,1,1,0.35,0.3939,0.77,0.0,544,2246,2790
19,2017-01-19,1,0,1,0,3,1,1,0.40,0.4394,0.79,0.0,551,2367,2918
20,2017-01-20,1,0,1,0,4,1,2,0.42,0.4545,0.78,0.0,537,2396,2933
21,2017-01-21,1,0,1,0,5,0,2,0.41,0.4545,0.79,0.0,426,1982,2408
22,2017-01-22,1,0,1,0,6,0,1,0.32,0.3334,0.80,0.0,492,2032,2524
23,2017-01-23,1,0,1,0,0,1,1,0.45,0.4697,0.76,0.0,530,2299,2829
24,2017-01-24,1,0,1,0,1,1,1,0.45,0.4697,0.74,0.0,545,2446,2991
25,2017-01-25,1,0,1,0,2,1,1,0.47,0.4848,0.72,0.0,548,2575,3123
26,2017-01-26,1,0,1,0,3,1,3,0.45,0.4697,0.82,0.0,467,2347,2814
27,2017-01-27,1,0,1,0,4,1,2,0.47,0.4848,0.79,0.0,502,2393,2895
28,2017-01-28,1,0,1,0,5,0,1,0.44,0.4545,0.77,0.0,524,2164,2688
29,2017-01-29,1,0,1,0,6,0,1,0.43,0.4394,0.77,0.0,529,2086,2615
30,2017-01-30,1,0,1,0,0,1,2,0.43,0.4394,0.80,0.0,438,2277,2715
31,2017-01-31,1,0,1,0,1,1,1,0.44,0.4545,0.75,0.0,469,2538,3007
32,2017-02-01,1,0,2,0,2,1,2,0.42,0.4545,0.81,0.0,439,2444,2883
33,2017-02-02,1,0,2,0,3,1,2,0.44,0.4545,0.80,0.1,456,2406,2862
