instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,hr,casual,registered,cnt
1,2017-01-01,1,0,1,0,6,0,2,0.24,0.2879,0.81,0.0,0,13,27,40
2,2017-01-01,1,0,1,0,6,0,2,0.24,0.2879,0.81,0.0,1,11,20,31
3,2017-01-01,1,0,1,0,6,0,2,0.24,0.2879,0.81,0.0,2,9,18,27
4,2017-01-01,1,0,1,0,6,0,2,0.24,0.2879,0.81,0.0,3,8,16,24
5,2017-01-01,1,0,1,0,6,0,2,0.24,0.2879,0.81,0.0,4,7,15,22
6,2017-01-01,1,0,1,0,6,0,2,0.24,0.2879,0.81,0.0,5,6,14,20
7,2017-01-01,1,0,1,0,6,0,2,0.24,0.2879,0.81,0.0,6,9,21,30
8,2017-01-01,1,0,1,0,6,0,2,0.24,0.2879,0.81,0.0,7,16,35,51
9,2017-01-01,1,0,1,0,6,0,2,0.24,0.2879,0.81,0.0,8,21,47,68
10,2017-01-01,1,0,1,0,6,0,2,0.24,0.2879,0.81,0.0,9,19,42,61
11,2017-01-01,1,0,1,0,6,0,2,0.24,0.2879,0.81,0.0,10,18,39,57
12,2017-01-01,1,0,1,0,6,0,2,0.24,0.2879,0.81,0.0,11,17,36,53
13,2017-01-01,1,0,1,0,6,0,2,0.24,0.2879,0.81,0.0,12,22,48,70
14,2017-01-01,1,0,1,0,6,0,2,0.24,0.2879,0.81,0.0,13,24,51,75
15,2017-01-01,1,0,1,0,6,0,2,0.24,0.2879,0.81,0.0,14,20,43,63
16,2017-01-01,1,0,1,0,6,0,2,0.24,0.2879,0.81,0.0,15,18,38,56
17,2017-01-01,1,0,1,0,6,0,2,0.24,0.2879,0.81,0.0,16,16,34,50
18,2017-01-01,1,0,1,0,6,0,2,0.24,0.2879,0.81,0.0,17,18,38,56
19,2017-01-01,1,0,1,0,6,0,2,0.24,0.2879,0.81,0.0,18,19,41,60
20,2017-01-01,1,0,1,0,6,0,2,0.24,0.2879,0.81,0.0,19,18,39,57
21,2017-01-01,1,0,1,0,6,0,2,0.24,0.2879,0.81,0.0,20,15,32,47
22,2017-01-01,1,0,1,0,6,0,2,0.24,0.2879,0.81,0.0,21,12,25,37
23,2017-01-01,1,0,1,0,6,0,2,0.24,0.2879,0.81,0.0,22,11,23,34
24,2017-01-01,1,0,1,0,6,0,2,0.24,0.2879,0.81,0.0,23,10,20,30
25,2017-01-02,1,0,1,0,0,1,2,0.22,0.2727,0.80,0.0,0,6,15,21
26,2017-01-02,1,0,1,0,0,1,2,0.22,0.2727,0.80,0.0,1,5,12,17
27,2017-01-02,1,0,1,0,0,1,2,0.22,0.2727,0.80,0.0,2,4,11,15
28,2017-01-02,1,0,1,0,0,1,2,0.22,0.2727,0.80,0.0,3,3,9,12
29,2017-01-02,1,0,1,0,0,1,2,0.22,0.2727,0.80,0.0,4,3,8,11
30,2017-01-02,1,0,1,0,0,1,2,0.22,0.2727,0.80,0.0,5,4,9,13
31,2017-01-02,1,0,1,0,0,1,2,0.22,0.2727,0.80,0.0,6,8,18,26
32,2017-01-02,1,0,1,0,0,1,2,0.22,0.2727,0.80,0.0,7,14,35,49
33,2017-01-02,1,0,1,0,0,1,2,0.22,0.2727,0.80,0.0,8,18,50,68
34,2017-01-02,1,0,1,0,0,1,2,0.22,0.2727,0.80,0.0,9,16,45,61
35,2017-01-02,1,0,1,0,0,1,2,0.22,0.2727,0.80,0.0,10,14,40,54
36,2017-01-02,1,0,1,0,0,1,2,0.22,0.2727,0.80,0.0,11,13,38,51
37,2017-01-02,1,0,1,0,0,1,2,0.22,0.2727,0.80,0.0,12,17,50,67
38,2017-01-02,1,0,1,0,0,1,2,0.22,0.2727,0.80,0.0,13,19,56,75
39,2017-01-02,1,0,1,0,0,1,2,0.22,0.2727,0.80,0.0,14,16,46,62
40,2017-01-02,1,0,1,0,0,1,2,0.22,0.2727,0.80,0.0,15,14,40,54
41,2017-01-02,1,0,1,0,0,1,2,0.22,0.2727,0.80,0.0,16,12,35,47
42,2017-01-02,1,0,1,0,0,1,2,0.22,0.2727,0.80,0.0,17,14,40,54
43,2017-01-02,1,0,1,0,0,1,2,0.22,0.2727,0.80,0.0,18,15,43,58
44,2017-01-02,1,0,1,0,0,1,2,0.22,0.2727,0.80,0.0,19,13,38,51
45,2017-01-02,1,0,1,0,0,1,2,0.22,0.2727,0.80,0.0,20,10,28,38
46,2017-01-02,1,0,1,0,0,1,2,0.22,0.2727,0.80,0.0,21,8,22,30
47,2017-01-02,1,0,1,0,0,1,2,0.22,0.2727,0.80,0.0,22,7,20,27
48,2017-01-02,1,0,1,0,0,1,2,0.22,0.2727,0.80,0.0,23,6,17,23
49,2017-01-03,1,0,1,0,1,1,1,0.26,0.3031,0.77,0.0,0,5,15,20
50,2017-01-03,1,0,1,0,1,1,1,0.26,0.3031,0.77,0.0,1,4,12,16
51,2017-01-03,1,0,1,0,1,1,1,0.26,0.3031,0.77,0.0,2,3,10,13
52,2017-01-03,1,0,1,0,1,1,1,0.26,0.3031,0.77,0.0,3,2,8,10
53,2017-01-03,1,0,1,0,1,1,1,0.26,0.3031,0.77,0.0,4,2,7,9
54,2017-01-03,1,0,1,0,1,1,1,0.26,0.3031,0.77,0.0,5,3,8,11
55,2017-01-03,1,0,1,0,1,1,1,0.26,0.3031,0.77,0.0,6,6,16,22
56,2017-01-03,1,0,1,0,1,1,1,0.26,0.3031,0.77,0.0,7,12,32,44
57,2017-01-03,1,0,1,0,1,1,1,0.26,0.3031,0.77,0.0,8,16,45,61
58,2017-01-03,1,0,1,0,1,1,1,0.26,0.3031,0.77,0.0,9,14,41,55
59,2017-01-03,1,0,1,0,1,1,1,0.26,0.3031,0.77,0.0,10,12,36,48
60,2017-01-03,1,0,1,0,1,1,1,0.26,0.3031,0.77,0.0,11,11,34,45
61,2017-01-03,1,0,1,0,1,1,1,0.26,0.3031,0.77,0.0,12,15,43,58
62,2017-01-03,1,0,1,0,1,1,1,0.26,0.3031,0.77,0.0,13,17,50,67
63,2017-01-03,1,0,1,0,1,1,1,0.26,0.3031,0.77,0.0,14,14,40,54
64,2017-01-03,1,0,1,0,1,1,1,0.26,0.3031,0.77,0.0,15,12,36,48
65,2017-01-03,1,0,1,0,1,1,1,0.26,0.3031,0.77,0.0,16,10,30,40
66,2017-01-03,1,0,1,0,1,1,1,0.26,0.3031,0.77,0.0,17,12,35,47
67,2017-01-03,1,0,1,0,1,1,1,0.26,0.3031,0.77,0.0,18,13,38,51
68,2017-01-03,1,0,1,0,1,1,1,0.26,0.3031,0.77,0.0,19,11,33,44
69,2017-01-03,1,0,1,0,1,1,1,0.26,0.3031,0.77,0.0,20,8,23,31
70,2017-01-03,1,0,1,0,1,1,1,0.26,0.3031,0.77,0.0,21,6,18,24
71,2017-01-03,1,0,1,0,1,1,1,0.26,0.3031,0.77,0.0,22,5,16,21
72,2017-01-03,1,0,1,0,1,1,1,0.26,0.3031,0.77,0.0,23,4,14,18
73,2017-01-04,1,0,1,0,2,1,1,0.26,0.3031,0.74,0.0,0,4,14,18
74,2017-01-04,1,0,1,0,2,1,1,0.26,0.3031,0.74,0.0,1,3,11,14
75,2017-01-04,1,0,1,0,2,1,1,0.26,0.3031,0.74,0.0,2,2,9,11
76,2017-01-04,1,0,1,0,2,1,1,0.26,0.3031,0.74,0.0,3,2,7,9
77,2017-01-04,1,0,1,0,2,1,1,0.26,0.3031,0.74,0.0,4,1,6,7
78,2017-01-04,1,0,1,0,2,1,1,0.26,0.3031,0.74,0.0,5,3,7,10
79,2017-01-04,1,0,1,0,2,1,1,0.26,0.3031,0.74,0.0,6,6,15,21
80,2017-01-04,1,0,1,0,2,1,1,0.26,0.3031,0.74,0.0,7,11,30,41
81,2017-01-04,1,0,1,0,2,1,1,0.26,0.3031,0.74,0.0,8,15,42,57
82,2017-01-04,1,0,1,0,2,1,1,0.26,0.3031,0.74,0.0,9,13,38,51
83,2017-01-04,1,0,1,0,2,1,1,0.26,0.3031,0.74,0.0,10,11,32,43
84,2017-01-04,1,0,1,0,2,1,1,0.26,0.3031,0.74,0.0,11,10,30,40
85,2017-01-04,1,0,1,0,2,1,1,0.26,0.3031,0.74,0.0,12,14,40,54
86,2017-01-04,1,0,1,0,2,1,1,0.26,0.3031,0.74,0.0,13,16,48,64
87,2017-01-04,1,0,1,0,2,1,1,0.26,0.3031,0.74,0.0,14,13,37,50
88,2017-01-04,1,0,1,0,2,1,1,0.26,0.3031,0.74,0.0,15,11,31,42
89,2017-01-04,1,0,1,0,2,1,1,0.26,0.3031,0.74,0.0,16,9,27,36
90,2017-01-04,1,0,1,0,2,1,1,0.26,0.3031,0.74,0.0,17,11,31,42
91,2017-01-04,1,0,1,0,2,1,1,0.26,0.3031,0.74,0.0,18,12,34,46
92,2017-01-04,1,0,1,0,2,1,1,0.26,0.3031,0.74,0.0,19,10,29,39
93,2017-01-04,1,0,1,0,2,1,1,0.26,0.3031,0.74,0.0,20,7,20,27
94,2017-01-04,1,0,1,0,2,1,1,0.26,0.3031,0.74,0.0,21,5,15,20
95,2017-01-04,1,0,1,0,2,1,1,0.26,0.3031,0.74,0.0,22,4,13,17
96,2017-01-04,1,0,1,0,2,1,1,0.26,0.3031,0.74,0.0,23,3,11,14
97,2017-01-05,1,0,1,0,3,1,2,0.20,0.2379,0.76,0.0,0,3,11,14
98,2017-01-05,1,0,1,0,3,1,2,0.20,0.2379,0.76,0.0,1,2,8,10
99,2017-01-05,1,0,1,0,3,1,2,0.20,0.2379,0.76,0.0,2,1,7,8
100,2017-01-05,1,0,1,0,3,1,2,0.20,0.2379,0.76,0.0,3,1,6,7
